YEAR,Month,Route Date
1889,June,"12 Danbury,Conn."
1889,June,"13 Waterbury,Conn."
1889,June,"14 Hartford,Conn."
1889,June,"15 Webster,Mass."
1889,June,"26 Fall River,Mass."
1889,June,"27 Brockton,Mass."
1889,June,"28 New Bedford,Mass."
1889,June,"29 South Framingham,Mass."
1889,July,"1 Norwich,Conn."
1889,July,"2 New London,Conn."
1889,July,"3 Palmer,Mass."
1889,July,"4 Worcester,Mass."
1889,July,"5 Lowell,Mass."
1889,July,"6 Nashua,N.H."
1889,July,"8 Concord,N.H."
1889,July,"9 Manchester,N.H."
1889,July,"10 Lawrence,Mass."
1889,July,"11 Haverhill,Mass."
1889,July,"12 Salem,Mass."
1889,July,"13 Lynn,Mass."
1889,July,"15 Newburyport,Mass."
1889,July,"16 Portsmouth,N.H."
1889,July,"17 Biddeford,Me."
1889,July,"18 Portland,Me."
1889,July,"19 Lewiston,Me."
1889,July,"20 Whitefield,N.H."
1889,July,"22 Burlington,Vt."
1889,July,"23 St.Albans,Vt."
1889,July,"24 Plattsburg,N.Y."
1889,July,"25 Rutland,Vt."
1889,July,"26 Saratoga Springs,N.Y."
1889,July,"27 Little Falls,N.Y."
1889,July,"29 Utica,N.Y."
1889,July,"30 Syracuse,N.Y."
1889,July,"31 Auburn,N.Y."
1889,August,"1 Geneva,N.Y."
1889,August,"7 Lockport,N.Y."
1889,August,"8 Olean,N.Y."
1889,August,"9 Hornellsville,N.Y."
1889,August,"10 Blossburg,Pa."
1889,August,"12 Elmira,N.Y."
1889,August,"13 Ithaca,N.Y."
1889,August,"14 Cortland,N.Y."
1889,August,"15 Binghamton,N.Y."
1889,August,"16 Norwich,N.Y."
1889,August,"17 Oneida,N.Y."
1889,August,"19 Oswego,N.Y."
1889,August,"20 Watertown,N.Y."
1889,August,"21 Ogdensburg,N.Y."
1889,August,"22 Gouverneur,N.Y."
1889,August,"26 Quebec,Que."
1889,August,"27 Three Rivers,Que."
1889,August,"28 Ottawa,Ont."
1889,August,"29 Brockville,Ont."
1889,August,"30 Kingston,Ont."
1889,August,"31 Belleville,Ont."
1889,September,"2 Toronto,Ont."
1889,September,"3 Peterborough,Ont."
1889,September,"4 Barrie,Ont."
1889,September,"5 Guelph,Ont."
1889,September,"6 Stratford,Ont."
1889,September,"7 London,Ont."
1889,September,"9 Chatham,Ont."
1889,September,"10 St.Thomas,Ont."
1889,September,"11 Woodstock,Ont."
1889,September,"12 Brantford,Ont."
1889,September,"13 Hamilton,Ont."
1889,September,"14 St.Catharines,Ont."
1889,September,"16 Jamestown,N.Y."
1889,September,"17 Erie,Pa."
1889,September,"18 Meadville,Pa."
1889,September,"19 Oil City,Pa."
1889,September,"20 New Castle,Pa."
1889,September,"21 Beaver Falls,Pa."
1889,September,"25 Washington,Pa."
1889,September,"26 McKeesport,Pa."
1889,September,"27 Connellsville,Pa."
1889,September,"28 Altoona,Pa."
1890,May,"16 Richmond,Va."
1890,May,"17 Norfolk,Va."
1890,May,"19 Lynchburg,Va."
1890,May,"20 Roanoke,Va."
1890,May,"21 Bristol,Tenn."
1890,May,"22 Knoxville,Tenn."
1890,May,"23 Chattanooga,Tenn."
1890,May,"24 Anniston,Ala,"
1890,May,"26 Birmingham,Ala."
1890,May,"27 Decatur,Ala."
1890,May,"28 Nashville,Tenn."
1890,May,"29 Bowling Green,Ky."
1890,June,"2 Owensboro,Ky."
1890,June,"3 Evansville,Ind."
1890,June,"4 Vincennes,Ind."
1890,June,"5 Terre Haute,Ind."
1890,June,"6 Danville,Ill."
1890,June,"7 Decatur,Ill."
1890,June,"16 Springfield,Ill."
1890,June,"17 Jacksonville,Ill."
1890,June,"18 Quincy,Ill."
1890,June,"19 Galesburg,Ill."
1890,June,"20 Peoria,Ill."
1890,June,"21 Bloomington,Ill."
1890,July,"7 Lafayette,Ind."
1890,July,"8 Logansport,Ind."
1890,July,"9 Anderson,Ind."
1890,July,"10 Indianapolis,Ind."
1890,July,"11 Richmond,Ind."
1890,July,"12 Piqua,O."
1890,July,"16 Hamilton,O."
1890,July,"17 Dayton,O."
1890,July,"18 Springfield,O."
1890,July,"19 Columbus,O."
1890,July,"23 Youngstown,O."
1890,July,"24 Akron,O."
1890,July,"25 Canton,O."
1890,July,"26 Steubenville,O."
1890,July,"30 Wheeling,W.Va."
1890,July,"31 Zanesville,O."
1890,August,"1 Newark,O."
1890,August,"2 Mansfield,O."
1890,August,"4 Tiffin,O."
1890,August,"5 Findlay,O."
1890,August,"6 Lima,O."
1890,August,"7 Ft.Wayne,Ind."
1890,August,"8 Bryan,O."
1890,August,"9 Adrian,Mich."
1890,August,"11 Detroit,Mich."
1890,August,"12 Toledo,O."
1890,August,"13 Flint,Mich."
1890,August,"14 East Saginaw,Mich."
1890,August,"15 Port Huron,Mich."
1890,August,"16 Bay City,Mich."
1890,August,"18 Lansing,Mich."
1890,August,"19 Jackson,Mich."
1890,August,"20 Grand Rapids,Mich."
1890,August,"21 Muskegon,Mich."
1890,August,"22 Kalamazoo,Mich."
1890,August,"23 South Bend,Ind."
1890,August,"25 Joliet,Ill."
1890,August,"26 Streator,Ill."
1890,August,"27 Aurora,Ill."
1890,August,"28 Elgin,Ill."
1890,August,"29 Rockford,Ill."
1890,August,"30 Madison,Wis."
1890,September,"3 Janesville,Wis."
1890,September,"4 Freeport,Ill."
1890,September,"5 Dubuque,Ia."
1890,September,"6 LaCrosse,Wis."
1890,September,"10 St.Paul,Minn."
1890,September,"11 Winona,Minn."
1890,September,"12 Rochester,Minn."
1890,September,"13 Owatonna,Minn."
1890,September,"15 Decorah,Ia."
1890,September,"16 Cedar Rapids,Ia."
1890,September,"17 Maquoketa,Ia."
1890,September,"18 Clinton,Ia."
1890,September,"19 Rock Island,Ill."
1890,September,"20 Muscatine,Ia."
1890,September,"22 Burlington,Ia."
1890,September,"23 Ottumwa,Ia."
1890,September,"24 Des Moines,Ia."
1890,September,"25 Ft.Dodge,Ia."
1890,September,"26 Sioux Falls,S.D."
1890,September,"27 Sioux City,Ia."
1890,September,"29 Council Bluffs,Ia."
1890,September,"30 Omaha,Neb."
1890,October,"1 Lincoln,Neb."
1890,October,"2 Falls City,Neb."
1890,October,"3 St.Joseph,Mo."
1890,October,"4 Topeka,Kan."
1890,October,"8 Ft.Scott,Kan."
1890,October,"9 Parsons,Kan."
1890,October,"10 Joplin,Mo."
1890,October,"11 Springfield,Mo."
1890,October,"13 Memphis,Tenn."
1890,October,"14 Jackson,Tenn."
1890,October,"15 Holly Springs,Miss."
1890,October,"16 Vicksburg,Miss."
1890,October,"17 Jackson,Miss."
1890,October,"20 Mobile,Ala."
1890,October,"21 Selma,Ala."
1890,October,"22 Montgomery,Ala."
1890,October,"23 Columbus,Ga."
1890,October,"24 Griffin,Ga."
1890,October,"25 Atlanta,Ga."
1890,October,"27 Macon,Ga."
1890,October,"28 Athens,Ga."
1890,October,"29 Augusta,Ga."
1890,October,"30 Savannah,Ga."
1890,October,"31 Charleston,S.C~"
1890,November,"1 Columbia,S.C."
1890,November,"3 Spartanburg,S.C."
1890,November,"4 Charlotte,N.C."
1890,November,"5 Greensboro,N.C."
1890,November,"6 Raleigh,N.C."
1890,November,"7 Winston,N.C."
1890,November,"8 Danville,Va."
1890,November,"End of season,winter quarters Bridgeport,Conn."
